t,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi,caetc_mean,da_ref_mean,planner_first-best_mean
179,14821.053444444444,1769.6141497464291,13460.807595434087,16181.2992934548,6161.5586,30742.627,31599.043
180,14948.171444444444,1771.789332923578,13586.253601633643,16310.089287255245,6324.61,30914.373,31775.574
181,15073.603333333333,1773.3577366782906,13710.47990867452,16436.726757992146,6324.61,31086.115,31952.104
182,15200.57,1774.8520554696242,13836.297940237144,16564.842059762854,6487.6133,31257.873,32128.633
183,15327.611222222222,1776.6189191372594,13961.981030818064,16693.24141362638,6487.6133,31429.611,32305.166
184,15454.695888888886,1778.2825030264062,14087.78695370885,16821.60482406892,6646.5825,31601.357,32481.695
185,15582.006444444443,1779.7860741290028,14213.941762204355,16950.071126684532,6646.5825,31773.104,32658.23
186,15706.992555555555,1780.0524737456556,14338.723100442927,17075.262010668182,6804.8203,31944.852,32834.758
187,15834.068555555556,1781.2315616435244,14464.892773253508,17203.244337857603,6804.8203,32116.598,33011.29
188,15961.671222222221,1781.9373076075642,14591.952955549681,17331.38948889476,6961.5044,32288.346,33187.816
189,16088.261055555557,1783.1921491682485,14717.578232273696,17458.943878837417,6961.5044,32460.09,33364.35
190,16215.047722222218,1784.3685344238918,14843.460649185654,17586.634795258782,7118.9834,32631.838,33540.883
191,16342.252222222225,1785.539435347745,14969.765115061555,17714.739329382894,7118.9834,32803.58,33717.41
192,16470.334555555557,1786.646817794518,15096.996238894382,17843.67287221673,7276.9707,32975.332,33893.945
193,16597.90188888889,1787.2413706648192,15224.10655843521,17971.697219342568,7276.9707,33147.082,34070.473
194,16723.69122222222,1787.1430024296308,15349.971504287581,18097.41094015686,7434.2446,33318.824,34247.008
195,16852.48122222222,1787.1756340977502,15478.73642136704,18226.2260230774,7434.2446,33490.566,34423.535
196,16980.154777777778,1786.4849785904155,15606.940861741237,18353.36869381432,7595.4043,33662.32,34600.07
197,17106.883,1787.869608541895,15732.604763165513,18481.16123683449,7595.4043,33834.062,34776.598
198,17233.91933333333,1788.2212793120707,15859.370778415425,18608.467888251238,7752.5625,34005.812,34953.125
199,17359.906666666662,1788.9654918090228,15984.786059383609,18735.027273949716,7752.5625,34177.555,35129.656
200,17486.963444444445,1789.3185883337069,16111.571423146042,18862.355465742847,7913.2065,34349.3,35306.184
201,17613.656888888887,1790.0516602297014,16237.701378649295,18989.612399128477,7913.2065,34521.05,35482.723
202,17741.27688888889,1790.4533915986508,16365.012580583285,19117.541197194492,8075.2183,34692.793,35659.254
203,17868.975055555555,1791.1719453512555,16492.15841794166,19245.79169316945,8075.2183,34864.543,35835.777
204,17995.784666666666,1791.213217867641,16618.936304188286,19372.633029145047,8232.915,35036.29,36012.316
205,18123.715333333337,1791.7084248627762,16746.486321062104,19500.94434560457,8232.915,35208.035,36188.844
206,18251.689444444448,1791.5659186818323,16874.569972120727,19628.80891676817,8392.502,35379.785,36365.38
207,18378.68411111111,1791.4018421118872,17001.69075920365,19755.67746301857,8392.502,35551.523,36541.906
208,18505.39111111111,1790.8212163977623,17128.844067636244,19881.938154585972,8550.831,35723.28,36718.438
209,18631.977555555553,1790.3982807874845,17255.75560916943,20008.199501941675,8550.831,35895.023,36894.96
210,18758.892,1790.1818896665213,17382.836386553798,20134.947613446202,8711.543,36066.766,37071.5
211,18884.52566666667,1790.7151163963094,17508.060178872503,20260.991154460833,8711.543,36238.51,37248.023
212,19011.63611111111,1790.9663282931538,17634.9775247593,20388.294697462923,8872.559,36410.266,37424.56
213,19138.929333333333,1791.4908930575111,17761.86753080959,20515.991135857075,8872.559,36582.004,37601.094
214,19265.833,1792.767935402753,17887.78957583327,20643.876424166727,9032.964,36753.754,37777.625
215,19392.156555555553,1792.7344800929889,18014.13884741638,20770.174263694727,9032.964,36925.5,37954.152
216,19521.539999999997,1791.9903201844447,18144.09430380294,20898.985696197054,9191.627,37097.246,38130.68
217,19649.493777777778,1792.9992016236213,18271.272586657164,21027.71496889839,9191.627,37268.99,38307.215
218,19775.906333333332,1792.5822797503604,18398.005616733986,21153.80704993268,9350.329,37440.734,38483.74
219,19903.032666666666,1792.7013273159864,18525.04044200778,21281.024891325553,9350.329,37612.49,38660.273
220,20031.18288888889,1793.0139868033273,18652.950332873093,21409.415444904684,9509.837,37784.24,38836.812
221,20157.725444444444,1793.3856449125155,18779.207206716426,21536.243682172462,9509.837,37955.98,39013.34
222,20284.12811111111,1792.8501808912706,18906.021467465507,21662.23475475671,9667.557,38127.727,39189.87
223,20411.39022222222,1793.6016661922029,19032.705935839454,21790.074508604986,9667.557,38299.47,39366.4
224,20538.828555555556,1794.1369129396253,19159.732842101817,21917.924269009294,9828.701,38471.22,39542.93
225,20666.24566666667,1793.9753341730336,19287.274153647573,22045.217179685766,9828.701,38642.973,39719.457
226,20792.26,1795.1855068591103,19412.3582659081,22172.161734091897,9989.135,38814.715,39895.992
227,20920.001,1794.7852674671828,19540.406917139055,22299.595082860946,9989.135,38986.453,40072.52
228,21047.38588888889,1794.1643173346365,19668.269110552414,22426.502667225366,10149.979,39158.207,40249.055
229,21175.343666666668,1793.3847019380703,19796.826153772974,22553.86117956036,10149.979,39329.95,40425.586
230,21302.85344444444,1792.1814714566515,19925.260816372665,22680.446072516217,10308.535,39501.703,40602.117
231,21432.23422222222,1791.7395728055585,20054.9812675227,22809.487176921743,10308.535,39673.44,40778.65
232,21559.822888888888,1791.2932835070903,20182.912982511956,22936.73279526582,10468.637,39845.188,40955.17
233,21688.07444444445,1790.557796156836,20311.72988369121,23064.41900519769,10468.637,40016.94,41131.71
234,21816.820333333333,1790.5502216341215,20440.48159487366,23193.159071793005,10627.948,40188.68,41308.234
235,21943.730999999996,1790.2892016767148,20567.592899240706,23319.869100759286,10627.948,40360.434,41484.77
236,22070.804333333333,1790.0466705352267,20694.85265851244,23446.75600815423,10786.782,40532.18,41661.305
237,22197.159111111112,1789.5317302331105,20821.603254445574,23572.71496777665,10786.782,40703.926,41837.83
238,22324.242888888886,1789.7072188278762,20948.552139748277,23699.933638029495,10947.384,40875.676,42014.367
239,22452.52411111111,1789.322435441098,21077.12913266419,23827.91908955803,10947.384,41047.414,42190.895
240,22577.903444444444,1788.739308880567,21202.956696750836,23952.850192138052,11108.232,41219.168,42367.42
